ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Малое количество на складе","Задержанный заказ возможен?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: yikes_woo_products_tabs"

67,simple,,"1м63БФ101 Токарный Винторезный станок, РМЦ 3000 мм",1,0,visible,"Продам Токарный Винторезный станок 1м63бф101. РМЦ 3000 мм. С хранения, в состоянии нового, НЕ ВОССТАНОВЛЕННЫЙ! С двумя люнетами, цена с отгрузкой на Ваш автомобиль.
","Цена на токарный станок 1м63БФ101 указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить 1м63 БФ101 можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,600000,Токарные,,,"http://stanki/wp-content/uploads/2019/01/6r82g-3.jpg, http://stanki/wp-content/uploads/2019/01/6r82g-3.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_7.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_6.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_5.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_4.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_2.jpg, http://stanki/wp-content/uploads/2019/01/6r82g.jpg",,,,,,,,,0,"a:2:{i:0;a:3:{s:5:""title"";s:64:""Технические характеристики 1м63бф101"";s:2:""id"";s:37:""tehnicheskie-harakteristiki-1m63bf101"";s:7:""content"";s:2875:""<table width=""376""><tbody><tr><td colspan=""2"" width=""376"">Наибольший диаметр обрабатываемой заготовки, мм:</td></tr><tr><td width=""312"">устанавливаемой над станиной</td><td width=""64"">700</td></tr><tr><td width=""312"">обрабатываемой над станиной</td><td width=""64"">630</td></tr><tr><td width=""312"">обрабатываемой над суппортом</td><td width=""64"">350</td></tr><tr><td width=""312"">Наибольшая длина обрабатываемой заготовки (РМЦ), мм</td><td width=""64"">3000</td></tr><tr><td width=""312"">Размер конца шпинделя передней бабки по DIN</td><td width=""64"">8М</td></tr><tr><td width=""312"">Количество ступеней частот вращения шпинделя</td><td width=""64"">22</td></tr><tr><td width=""312"">Диаметр цилиндрического отверстия в шпинделе, мм</td><td width=""64"">70</td></tr><tr><td width=""312"">Пределы частоты вращения шпинделя, об/мин</td><td width=""64"">10…1250</td></tr><tr><td colspan=""2"" width=""376"">Пределы рабочих подач суппорта, мм/об:</td></tr><tr><td width=""312"">продольных</td><td width=""64"">0,06-1</td></tr><tr><td width=""312"">поперечных</td><td width=""64"">0,024-0,31</td></tr><tr><td width=""312"">резцовых салазок</td><td width=""64"">0,019-0,31</td></tr><tr><td colspan=""2"" width=""376"">Пределы шагов нарезаемых резьб:</td></tr><tr><td width=""312"">метрических, мм</td><td width=""64"">1-224</td></tr><tr><td width=""312"">дюймовых, число ниток на 1″</td><td width=""64"">56-0,25</td></tr><tr><td width=""312"">модульных, модуль</td><td width=""64"">0,5-112</td></tr><tr><td width=""312"">питчевых, питч</td><td width=""64"">112-0,5</td></tr><tr><td colspan=""2"" width=""376"">Ускоренное перемещение суппорта, мм/мин:</td></tr><tr><td width=""312"">продольное</td><td width=""64"">5,2</td></tr><tr><td width=""312"">поперечное</td><td width=""64"">2</td></tr><tr><td width=""312"">Наибольший вес устанавливаемой заготовки, кг</td><td width=""64"">3500</td></tr><tr><td width=""312"">Мощность привода главного движения, кВт</td><td width=""64"">15</td></tr><tr><td colspan=""2"" width=""376"">Габаритные размеры, мм:</td></tr><tr><td width=""312"">длина</td><td width=""64"">4950</td></tr><tr><td width=""312"">ширина</td><td width=""64"">1780</td></tr><tr><td width=""312"">высота</td><td width=""64"">1550</td></tr><tr><td width=""312"">Масса, кг</td><td width=""64"">5660</td></tr></tbody></table>"";}i:1;a:3:{s:5:""title"";s:27:""Паспорт 1м63бф101"";s:2:""id"";s:17:""pasport-1m63bf101"";s:7:""content"";s:263:""<p>Паспорт на токарно-винторезный станок 1м63БФ101 можно бесплатно скачать по ссылке: <a href=""https://st-ok.ru/wp-content/uploads/2017/10/1M63BF101_passport.zip"">Паспорт_1м63бф101</a></p>"";}}"

,simple,,"1м63БФ101 Токарный Винторезный станок, РМЦ 3000 мм",1,0,visible,"Продам Токарный Винторезный станок 1м63бф101. РМЦ 3000 мм. С хранения, в состоянии нового, НЕ ВОССТАНОВЛЕННЫЙ! С двумя люнетами, цена с отгрузкой на Ваш автомобиль.
","Цена на токарный станок 1м63БФ101 указана с учетом погрузки на ваш транспорт. Станок бу, полностью комплектен, подключен и готов к проверке. Купить 1м63 БФ101 можно после осмотра, который проводится по предварительной записи, по телефону на сайте.",,,taxable,,1,,,0,0,,,,,1,,,600000,Токарные,,,"http://stanki/wp-content/uploads/2019/01/6r82g-3.jpg, http://stanki/wp-content/uploads/2019/01/6r82g-3.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_7.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_6.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_5.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_4.jpg, http://stanki/wp-content/uploads/2019/01/6r82g_2.jpg, http://stanki/wp-content/uploads/2019/01/6r82g.jpg",,,,,,,,,0,"a:2:{i:0;a:3:{s:5:""title"";s:64:""Технические характеристики 1м63бф101"";s:2:""id"";s:37:""tehnicheskie-harakteristiki-1m63bf101"";s:7:""content"";s:2875:""<table width=""376""><tbody><tr><td colspan=""2"" width=""376"">Наибольший диаметр обрабатываемой заготовки, мм:</td></tr><tr><td width=""312"">устанавливаемой над станиной</td><td width=""64"">700</td></tr><tr><td width=""312"">обрабатываемой над станиной</td><td width=""64"">630</td></tr><tr><td width=""312"">обрабатываемой над суппортом</td><td width=""64"">350</td></tr><tr><td width=""312"">Наибольшая длина обрабатываемой заготовки (РМЦ), мм</td><td width=""64"">3000</td></tr><tr><td width=""312"">Размер конца шпинделя передней бабки по DIN</td><td width=""64"">8М</td></tr><tr><td width=""312"">Количество ступеней частот вращения шпинделя</td><td width=""64"">22</td></tr><tr><td width=""312"">Диаметр цилиндрического отверстия в шпинделе, мм</td><td width=""64"">70</td></tr><tr><td width=""312"">Пределы частоты вращения шпинделя, об/мин</td><td width=""64"">10…1250</td></tr><tr><td colspan=""2"" width=""376"">Пределы рабочих подач суппорта, мм/об:</td></tr><tr><td width=""312"">продольных</td><td width=""64"">0,06-1</td></tr><tr><td width=""312"">поперечных</td><td width=""64"">0,024-0,31</td></tr><tr><td width=""312"">резцовых салазок</td><td width=""64"">0,019-0,31</td></tr><tr><td colspan=""2"" width=""376"">Пределы шагов нарезаемых резьб:</td></tr><tr><td width=""312"">метрических, мм</td><td width=""64"">1-224</td></tr><tr><td width=""312"">дюймовых, число ниток на 1″</td><td width=""64"">56-0,25</td></tr><tr><td width=""312"">модульных, модуль</td><td width=""64"">0,5-112</td></tr><tr><td width=""312"">питчевых, питч</td><td width=""64"">112-0,5</td></tr><tr><td colspan=""2"" width=""376"">Ускоренное перемещение суппорта, мм/мин:</td></tr><tr><td width=""312"">продольное</td><td width=""64"">5,2</td></tr><tr><td width=""312"">поперечное</td><td width=""64"">2</td></tr><tr><td width=""312"">Наибольший вес устанавливаемой заготовки, кг</td><td width=""64"">3500</td></tr><tr><td width=""312"">Мощность привода главного движения, кВт</td><td width=""64"">15</td></tr><tr><td colspan=""2"" width=""376"">Габаритные размеры, мм:</td></tr><tr><td width=""312"">длина</td><td width=""64"">4950</td></tr><tr><td width=""312"">ширина</td><td width=""64"">1780</td></tr><tr><td width=""312"">высота</td><td width=""64"">1550</td></tr><tr><td width=""312"">Масса, кг</td><td width=""64"">5660</td></tr></tbody></table>"";}i:1;a:3:{s:5:""title"";s:27:""Паспорт 1м63бф101"";s:2:""id"";s:17:""pasport-1m63bf101"";s:7:""content"";s:263:""<p>Паспорт на токарно-винторезный станок 1м63БФ101 можно бесплатно скачать по ссылке: <a href=""https://st-ok.ru/wp-content/uploads/2017/10/1M63BF101_passport.zip"">Паспорт_1м63бф101</a></p>"";}}"

